,PATIENT,encounter_count,enc_ambulatory,enc_emergency,enc_home,enc_hospice,enc_inpatient,enc_outpatient,enc_snf,enc_urgentcare,enc_virtual,enc_wellness,medication_count,bmi_mean,chol_mean,creat_mean,dbp_mean,egfr_mean,glucose_mean,hba1c_mean,hdl_mean,height_mean,hr_mean,ldl_mean,rr_mean,sbp_mean,weight_mean,bmi_last,chol_last,creat_last,dbp_last,egfr_last,glucose_last,hba1c_last,hdl_last,height_last,hr_last,ldl_last,rr_last,sbp_last,weight_last,MARITAL,RACE,ETHNICITY,GENDER,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,AGE,target,window
count,2174,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2174.0,2038.0,1259.0,864.0,2099.0,474.0,864.0,793.0,1259.0,2099.0,2099.0,1259.0,2099.0,2099.0,2099.0,2038.0,1259.0,864.0,2099.0,474.0,864.0,793.0,1259.0,2099.0,2099.0,1259.0,2099.0,2099.0,2099.0,1547,2174,2174,2174,2174,2174,2174,2174.0,2174.0,2174
unique,2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,2,2172,2073,1878,,,1
top,0f238ca9-106f-4cd6-d8d1-701e70c84cb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,white,nonhispanic,F,1400.00,0.00,147466,,,D1_historical
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,1796,1900,1088,2,102,10,,,2174
mean,,35.76264949402024,20.16421343146274,1.3026678932842686,0.14581416743330267,0.11591536338546458,0.672953081876725,3.591076356945722,0.08325666973321068,1.3942042318307268,0.05427782888684453,8.237810487580496,28.49218031278749,26.045481739873992,187.00605676381596,1.5613806476834613,79.38423698480823,68.9961914260196,84.56783981979697,5.7422887511211345,50.53469352827294,158.04722583068295,80.68988981614615,111.66455341670867,14.18088327904692,119.25215854631966,69.4596585190408,26.30677134445535,187.1382049245433,1.604976851851852,79.06121962839447,69.06793248945147,85.40243055555555,5.710088272383355,50.57918983320095,160.95216769890422,82.21267270128634,111.99269261318506,14.4728442115293,118.4659838018104,71.30181038589805,,,,,,,,42.05630099231349,0.15133394664213431,
std,,70.70436993435118,59.48902831241992,3.4080414721162793,1.8409836639313881,0.4119640410426911,2.8896302565253498,7.2020816544298745,0.29251322457688106,7.387355242241112,0.8643885757251518,3.953715884449398,93.26861328026594,5.016574684134852,41.037346263830145,1.011739052776824,9.22684321919958,38.53634997173775,10.669708624823437,1.0076292133872444,9.717798579279659,29.552151428922414,7.0671030769649,42.24998322769599,1.171273805076612,13.73547054495122,26.31037852780216,4.85948083936973,44.69586423912149,2.8608777995462007,10.110431315761454,43.889512262332715,15.399277078028005,1.0854636942763618,11.142935865061304,25.032287802358383,17.008122364369502,45.983889077238345,2.7703723357988483,15.087602332974695,24.525338088415104,,,,,,,,25.550381143071824,0.3584565340060403,
min,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.975,71.5,0.3666666666666667,41.75,5.4,65.2,2.747008547008547,22.4,48.3,61.0,6.5,12.0,76.125,3.1,12.9,71.5,0.3,37.0,4.7,64.2,2.5,20.4,48.3,51.0,3.4,12.0,46.0,3.1,,,,,,,,0.04106776180698152,0.0,
25%,,12.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,23.085,161.38,0.9666666666666667,73.25657894736841,31.139166666666664,79.0825,5.949999999999999,48.91526610644257,156.9,76.6125,84.30555555555557,13.666666666666666,109.5,59.400000000000006,23.924999999999997,157.05,0.9,73.0,19.925,73.475,5.8,46.8,158.2,71.0,80.30000000000001,13.0,108.0,62.4,,,,,,,,20.808350444900753,0.0,
50%,,20.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,27.8,179.6,1.2,79.0,75.37261904761905,82.2225,6.083333333333333,53.44285714285714,166.31666666666666,80.15384615384616,106.62,14.0,120.0,77.1,27.8,180.3,1.1,79.0,74.7,83.9,6.0,53.1,166.9,81.0,107.5,14.0,119.0,77.6,,,,,,,,41.93976728268309,0.0,
75%,,33.0,16.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,11.0,17.0,29.262727272727272,201.35,1.7985714285714285,85.25,98.11698717948718,85.99318181818181,6.17,56.587209302325576,174.7,84.0,128.7,14.4,129.0,86.96190476190476,29.5,207.05,1.9,86.0,95.85,94.2,6.2,57.6,175.2,91.0,135.75,15.0,129.0,87.2,,,,,,,,59.27720739219713,0.0,
max,,652.0,591.0,84.0,29.0,7.0,52.0,84.0,2.0,166.0,31.0,23.0,1109.0,47.2,323.0,9.660526315789474,113.16666666666667,160.8,158.99565217391304,7.699999999999999,70.8,195.1,130.95,256.04999999999995,25.45,154.0,148.6,47.2,328.2,80.9,118.4,160.8,189.4,7.7,80.0,195.1,199.6,263.1,38.4,159.0,148.6,,,,,,,,105.63449691991786,1.0,
