,0
bmi_mean,0.40343425527287735
ldl_mean,0.1375979724089518
chol_last,0.11821043565841773
sbp_mean,0.10800658221635726
egfr_mean,0.056612868905589815
enc_wellness,0.046313560881984774
hba1c_mean,0.0375498334371292
dbp_mean,0.023562382555592537
medication_count,0.021954075265836905
creat_mean,0.01841367038866366
bmi_last,0.015447941341633787
chol_mean,0.012896421666965328
enc_urgentcare,0.0
enc_virtual,0.0
INCOME_9740,0.0
weight_mean,0.0
INCOME_98825,0.0
INCOME_98766,0.0
INCOME_99984,0.0
encounter_count,0.0
enc_ambulatory,0.0
enc_outpatient,0.0
glucose_mean,0.0
hdl_mean,0.0
height_mean,0.0
hr_mean,0.0
rr_mean,0.0
enc_home,0.0
creat_last,0.0
dbp_last,0.0
egfr_last,0.0
glucose_last,0.0
hba1c_last,0.0
hdl_last,0.0
height_last,0.0
hr_last,0.0
ldl_last,0.0
rr_last,0.0
sbp_last,0.0
weight_last,0.0
AGE,0.0
MARITAL_D,0.0
MARITAL_M,0.0
MARITAL_S,0.0
MARITAL_W,0.0
RACE_asian,0.0
RACE_black,0.0
RACE_hawaiian,0.0
RACE_native,0.0
RACE_other,0.0
RACE_white,0.0
ETHNICITY_hispanic,0.0
ETHNICITY_nonhispanic,0.0
GENDER_F,0.0
GENDER_M,0.0
HEALTHCARE_EXPENSES_100147.62,0.0
HEALTHCARE_EXPENSES_10034.66,0.0
HEALTHCARE_EXPENSES_100350.91,0.0
HEALTHCARE_EXPENSES_100532.48,0.0
HEALTHCARE_EXPENSES_10060.08,0.0
HEALTHCARE_EXPENSES_100621.15,0.0
HEALTHCARE_EXPENSES_1006656.85,0.0
HEALTHCARE_EXPENSES_1007677.65,0.0
HEALTHCARE_EXPENSES_101047.72,0.0
HEALTHCARE_EXPENSES_101401.16,0.0
HEALTHCARE_EXPENSES_101438.98,0.0
HEALTHCARE_EXPENSES_10144.27,0.0
HEALTHCARE_EXPENSES_101470.46,0.0
HEALTHCARE_EXPENSES_101493.21,0.0
HEALTHCARE_EXPENSES_1018997.82,0.0
HEALTHCARE_EXPENSES_10195.92,0.0
HEALTHCARE_EXPENSES_10196.31,0.0
HEALTHCARE_EXPENSES_102198.12,0.0
HEALTHCARE_EXPENSES_102217.28,0.0
HEALTHCARE_EXPENSES_1023510.86,0.0
HEALTHCARE_EXPENSES_10260.26,0.0
HEALTHCARE_EXPENSES_102652.40,0.0
HEALTHCARE_EXPENSES_102686.25,0.0
HEALTHCARE_EXPENSES_1027564.04,0.0
HEALTHCARE_EXPENSES_1028143.07,0.0
HEALTHCARE_EXPENSES_102861.51,0.0
HEALTHCARE_EXPENSES_10302.00,0.0
HEALTHCARE_EXPENSES_103025.30,0.0
HEALTHCARE_EXPENSES_103044.90,0.0
HEALTHCARE_EXPENSES_10325.52,0.0
HEALTHCARE_EXPENSES_103276.10,0.0
HEALTHCARE_EXPENSES_1032960.56,0.0
HEALTHCARE_EXPENSES_1035768.42,0.0
HEALTHCARE_EXPENSES_103668.06,0.0
HEALTHCARE_EXPENSES_103686.02,0.0
HEALTHCARE_EXPENSES_103893.50,0.0
HEALTHCARE_EXPENSES_10393.34,0.0
HEALTHCARE_EXPENSES_104017.01,0.0
HEALTHCARE_EXPENSES_104113.86,0.0
HEALTHCARE_EXPENSES_104120.24,0.0
HEALTHCARE_EXPENSES_104129.26,0.0
HEALTHCARE_EXPENSES_10422.99,0.0
HEALTHCARE_EXPENSES_10433.23,0.0
HEALTHCARE_EXPENSES_104376.23,0.0
HEALTHCARE_EXPENSES_104730.93,0.0
HEALTHCARE_EXPENSES_105120.28,0.0
HEALTHCARE_EXPENSES_10535.81,0.0
HEALTHCARE_EXPENSES_10545.86,0.0
HEALTHCARE_EXPENSES_10550.01,0.0
HEALTHCARE_EXPENSES_105544.33,0.0
HEALTHCARE_EXPENSES_105708.88,0.0
HEALTHCARE_EXPENSES_105718.73,0.0
HEALTHCARE_EXPENSES_106432.28,0.0
HEALTHCARE_EXPENSES_1066.28,0.0
HEALTHCARE_EXPENSES_10688.26,0.0
HEALTHCARE_EXPENSES_1068971.92,0.0
HEALTHCARE_EXPENSES_107063.62,0.0
HEALTHCARE_EXPENSES_10715.66,0.0
HEALTHCARE_EXPENSES_10718.50,0.0
HEALTHCARE_EXPENSES_107293.98,0.0
HEALTHCARE_EXPENSES_10733.60,0.0
HEALTHCARE_EXPENSES_10741.72,0.0
HEALTHCARE_EXPENSES_107530.57,0.0
HEALTHCARE_EXPENSES_108125.88,0.0
HEALTHCARE_EXPENSES_10822.94,0.0
HEALTHCARE_EXPENSES_108276.40,0.0
HEALTHCARE_EXPENSES_108280.95,0.0
HEALTHCARE_EXPENSES_108288.22,0.0
HEALTHCARE_EXPENSES_108582.93,0.0
HEALTHCARE_EXPENSES_10862.80,0.0
HEALTHCARE_EXPENSES_109086.03,0.0
HEALTHCARE_EXPENSES_109126.10,0.0
HEALTHCARE_EXPENSES_109274.65,0.0
HEALTHCARE_EXPENSES_109292.33,0.0
HEALTHCARE_EXPENSES_109377.07,0.0
HEALTHCARE_EXPENSES_10950.87,0.0
HEALTHCARE_EXPENSES_1095475.78,0.0
HEALTHCARE_EXPENSES_1098860.51,0.0
HEALTHCARE_EXPENSES_10997.10,0.0
HEALTHCARE_EXPENSES_1100.00,0.0
HEALTHCARE_EXPENSES_1100403.50,0.0
HEALTHCARE_EXPENSES_110161.66,0.0
HEALTHCARE_EXPENSES_11024.45,0.0
HEALTHCARE_EXPENSES_110264.26,0.0
HEALTHCARE_EXPENSES_110445.72,0.0
HEALTHCARE_EXPENSES_110595.20,0.0
HEALTHCARE_EXPENSES_1111729.52,0.0
HEALTHCARE_EXPENSES_111274.37,0.0
HEALTHCARE_EXPENSES_111441.67,0.0
HEALTHCARE_EXPENSES_111450.34,0.0
HEALTHCARE_EXPENSES_11160.27,0.0
HEALTHCARE_EXPENSES_11186.41,0.0
HEALTHCARE_EXPENSES_11186.68,0.0
HEALTHCARE_EXPENSES_11202.77,0.0
HEALTHCARE_EXPENSES_112109.04,0.0
HEALTHCARE_EXPENSES_1121286.18,0.0
HEALTHCARE_EXPENSES_112356.41,0.0
HEALTHCARE_EXPENSES_11274.26,0.0
HEALTHCARE_EXPENSES_112886.46,0.0
HEALTHCARE_EXPENSES_1128984.72,0.0
HEALTHCARE_EXPENSES_1129438.17,0.0
HEALTHCARE_EXPENSES_112993.17,0.0
HEALTHCARE_EXPENSES_113156.12,0.0
HEALTHCARE_EXPENSES_113252.58,0.0
HEALTHCARE_EXPENSES_113337.88,0.0
HEALTHCARE_EXPENSES_11339.08,0.0
HEALTHCARE_EXPENSES_113666.73,0.0
HEALTHCARE_EXPENSES_113732.68,0.0
HEALTHCARE_EXPENSES_113741.53,0.0
HEALTHCARE_EXPENSES_114457.92,0.0
HEALTHCARE_EXPENSES_114477.57,0.0
HEALTHCARE_EXPENSES_114512.18,0.0
HEALTHCARE_EXPENSES_11453.18,0.0
HEALTHCARE_EXPENSES_11461.97,0.0
HEALTHCARE_EXPENSES_11465.68,0.0
HEALTHCARE_EXPENSES_114756.58,0.0
HEALTHCARE_EXPENSES_114853.36,0.0
HEALTHCARE_EXPENSES_114906.29,0.0
HEALTHCARE_EXPENSES_11502.50,0.0
HEALTHCARE_EXPENSES_115052.52,0.0
HEALTHCARE_EXPENSES_1153819.62,0.0
HEALTHCARE_EXPENSES_11541.01,0.0
HEALTHCARE_EXPENSES_1154931.59,0.0
HEALTHCARE_EXPENSES_115616.26,0.0
HEALTHCARE_EXPENSES_1157400.16,0.0
HEALTHCARE_EXPENSES_11601.56,0.0
HEALTHCARE_EXPENSES_116012.01,0.0
HEALTHCARE_EXPENSES_116015.85,0.0
HEALTHCARE_EXPENSES_11633.48,0.0
HEALTHCARE_EXPENSES_11635.31,0.0
HEALTHCARE_EXPENSES_11655.76,0.0
HEALTHCARE_EXPENSES_116799.40,0.0
HEALTHCARE_EXPENSES_1168604.78,0.0
HEALTHCARE_EXPENSES_1170589.18,0.0
HEALTHCARE_EXPENSES_117490.95,0.0
HEALTHCARE_EXPENSES_117554.17,0.0
HEALTHCARE_EXPENSES_117736.91,0.0
HEALTHCARE_EXPENSES_117742.21,0.0
HEALTHCARE_EXPENSES_11793.30,0.0
HEALTHCARE_EXPENSES_1179581.14,0.0
HEALTHCARE_EXPENSES_118089.42,0.0
HEALTHCARE_EXPENSES_11831.41,0.0
HEALTHCARE_EXPENSES_118398.05,0.0
HEALTHCARE_EXPENSES_11845.23,0.0
HEALTHCARE_EXPENSES_11849.22,0.0
HEALTHCARE_EXPENSES_118544.30,0.0
HEALTHCARE_EXPENSES_118677.68,0.0
HEALTHCARE_EXPENSES_11873.66,0.0
HEALTHCARE_EXPENSES_118960.56,0.0
HEALTHCARE_EXPENSES_11901.74,0.0
HEALTHCARE_EXPENSES_119052.29,0.0
HEALTHCARE_EXPENSES_11915.34,0.0
HEALTHCARE_EXPENSES_1191862.91,0.0
HEALTHCARE_EXPENSES_11930.14,0.0
HEALTHCARE_EXPENSES_119738.42,0.0
HEALTHCARE_EXPENSES_1197579.55,0.0
HEALTHCARE_EXPENSES_11978.18,0.0
HEALTHCARE_EXPENSES_119870.18,0.0
HEALTHCARE_EXPENSES_11994.41,0.0
HEALTHCARE_EXPENSES_119959.87,0.0
HEALTHCARE_EXPENSES_120125.33,0.0
HEALTHCARE_EXPENSES_12052.22,0.0
HEALTHCARE_EXPENSES_12053.95,0.0
HEALTHCARE_EXPENSES_120781.32,0.0
HEALTHCARE_EXPENSES_120944.02,0.0
HEALTHCARE_EXPENSES_121088.29,0.0
HEALTHCARE_EXPENSES_12110.45,0.0
HEALTHCARE_EXPENSES_12134.74,0.0
HEALTHCARE_EXPENSES_121387.90,0.0
HEALTHCARE_EXPENSES_121768.70,0.0
HEALTHCARE_EXPENSES_121795.55,0.0
HEALTHCARE_EXPENSES_121801.70,0.0
HEALTHCARE_EXPENSES_121876.87,0.0
HEALTHCARE_EXPENSES_122321.77,0.0
HEALTHCARE_EXPENSES_12249.80,0.0
HEALTHCARE_EXPENSES_122622.01,0.0
HEALTHCARE_EXPENSES_123045.72,0.0
HEALTHCARE_EXPENSES_12362.95,0.0
HEALTHCARE_EXPENSES_12380.97,0.0
HEALTHCARE_EXPENSES_123972.08,0.0
HEALTHCARE_EXPENSES_124057.99,0.0
HEALTHCARE_EXPENSES_12416.99,0.0
HEALTHCARE_EXPENSES_124194.85,0.0
HEALTHCARE_EXPENSES_12426.70,0.0
HEALTHCARE_EXPENSES_124317.25,0.0
HEALTHCARE_EXPENSES_12443.89,0.0
HEALTHCARE_EXPENSES_12448.95,0.0
HEALTHCARE_EXPENSES_12450.00,0.0
HEALTHCARE_EXPENSES_124681.61,0.0
HEALTHCARE_EXPENSES_124823.06,0.0
HEALTHCARE_EXPENSES_12493.18,0.0
HEALTHCARE_EXPENSES_12495.55,0.0
HEALTHCARE_EXPENSES_1251512.57,0.0
HEALTHCARE_EXPENSES_1251708.57,0.0
HEALTHCARE_EXPENSES_12542.43,0.0
HEALTHCARE_EXPENSES_125490.18,0.0
HEALTHCARE_EXPENSES_12564.64,0.0
HEALTHCARE_EXPENSES_125654.96,0.0
HEALTHCARE_EXPENSES_1258693.98,0.0
HEALTHCARE_EXPENSES_126052.77,0.0
HEALTHCARE_EXPENSES_126169.56,0.0
HEALTHCARE_EXPENSES_126176.81,0.0
HEALTHCARE_EXPENSES_126334.95,0.0
HEALTHCARE_EXPENSES_126359.61,0.0
HEALTHCARE_EXPENSES_126453.16,0.0
HEALTHCARE_EXPENSES_126597.07,0.0
HEALTHCARE_EXPENSES_12665.40,0.0
HEALTHCARE_EXPENSES_12674.44,0.0
HEALTHCARE_EXPENSES_12678.71,0.0
HEALTHCARE_EXPENSES_12680.64,0.0
HEALTHCARE_EXPENSES_126816.96,0.0
HEALTHCARE_EXPENSES_126895.68,0.0
HEALTHCARE_EXPENSES_1269071.91,0.0
HEALTHCARE_EXPENSES_127010.96,0.0
HEALTHCARE_EXPENSES_12707.71,0.0
HEALTHCARE_EXPENSES_127436.38,0.0
HEALTHCARE_EXPENSES_127484.47,0.0
HEALTHCARE_EXPENSES_127560.18,0.0
HEALTHCARE_EXPENSES_12759.24,0.0
HEALTHCARE_EXPENSES_12765.15,0.0
HEALTHCARE_EXPENSES_127714.92,0.0
HEALTHCARE_EXPENSES_128374.98,0.0
HEALTHCARE_EXPENSES_12873.86,0.0
HEALTHCARE_EXPENSES_12897.58,0.0
HEALTHCARE_EXPENSES_12897.99,0.0
HEALTHCARE_EXPENSES_129466.45,0.0
HEALTHCARE_EXPENSES_1295.86,0.0
HEALTHCARE_EXPENSES_129528.50,0.0
HEALTHCARE_EXPENSES_129534.71,0.0
HEALTHCARE_EXPENSES_129609.37,0.0
HEALTHCARE_EXPENSES_129667.43,0.0
HEALTHCARE_EXPENSES_129677.86,0.0
HEALTHCARE_EXPENSES_1298125.72,0.0
HEALTHCARE_EXPENSES_13004.89,0.0
HEALTHCARE_EXPENSES_130125.39,0.0
HEALTHCARE_EXPENSES_13020.67,0.0
