model,eval_on,accuracy,precision,recall,f1,roc_auc,threshold
decision_tree,Train(D1),0.9114433582518688,0.6847457627118644,0.7680608365019012,0.7240143369175627,0.9522422125361938,0.75
decision_tree,Test(D1),0.8459770114942529,0.4935064935064935,0.5757575757575758,0.5314685314685315,0.8285086638745175,0.75
decision_tree,Test(D2) [drift],0.8984771573604061,0.6382978723404256,0.5660377358490566,0.6,0.8565263099651412,0.75
decision_tree,Test(D2) [continual],0.8984771573604061,0.6101694915254238,0.6792452830188679,0.6428571428571429,0.8744812704033641,0.75
svm,Train(D1),0.9447958596894767,0.8174904942965779,0.8174904942965779,0.8174904942965779,0.9578516079837605,0.49999999999999994
svm,Test(D1),0.8482758620689655,0.5,0.4090909090909091,0.45,0.8736141906873613,0.49999999999999994
svm,Test(D2) [drift],0.8807106598984772,0.65,0.24528301886792453,0.3561643835616438,0.8914402700160461,0.49999999999999994
svm,Test(D2) [continual],0.8984771573604061,0.7407407407407407,0.37735849056603776,0.5,0.9021745144690976,0.49999999999999994
mlp,Train(D1),0.9867740080506038,0.9379562043795621,0.9771863117870723,0.957169459962756,0.9967953671932157,0.3
mlp,Test(D1),0.8275862068965517,0.449438202247191,0.6060606060606061,0.5161290322580645,0.8613369467028004,0.3
mlp,Test(D2) [drift],0.9187817258883249,0.7333333333333333,0.6226415094339622,0.673469387755102,0.930670060310961,0.3
mlp,Test(D2) [continual],0.8730964467005076,0.5348837209302325,0.4339622641509434,0.4791666666666667,0.8631107176451059,0.39999999999999997
